Employee WWID,Region,Country,Business Unit,Cost Center Code,Cost Center Name
A4107591,EMEA,Germany,Sales & Marketing,5639,SMG 126 FConfid
A3136291,APJC,Thailand,Sales & Marketing,7342,KLY & RM
B1714143,AMER,Canada,Sales & Marketing,4175,GMP 892wan Sales
A2015721,EMEA,South Africa,Sales & Marketing,7342,KLY & RM
B4712255,AMER,Canada,Sales & Marketing,2067,SMG 987 FInance
G1798627,APJC,Malaysia,Sales & Marketing,4175,GMP 892wan Sales
A5173325,AMER,Argentina,Sales & Marketing,2067,SMG 987 FInance
B3323569,EMEA,Netherlands,Sales & Marketing,6834,IoT Busi Sales
G0240607,AMER,United States,Sales & Marketing,1593,GMP 335wan Sales
G1074507,AMER,Chile,Sales & Marketing,9261,WVH & RM
G0015429,APJC,Indonesia,Sales & Marketing,3849,VJP & RM
G9169804,EMEA,Spain,Sales & Marketing,5639,SMG 126 FConfid
G0331561,EMEA,Germany,Sales & Marketing,1593,GMP 335wan Sales
B1107140,AMER,Canada,Sales & Marketing,7125,SMG 247 FInance
B0562211,EMEA,Italy,Sales & Marketing,9261,WVH & RM
A5688407,APJC,South Korea,Sales & Marketing,2067,SMG 987 FInance
B1730224,APJC,Philippines,Sales & Marketing,6834,IoT Busi Sales
A9245788,AMER,Brazil,Sales & Marketing,2067,SMG 987 FInance
G3567356,APJC,Philippines,Sales & Marketing,8192,IoT Tecy Sales
B7108630,EMEA,United Arab Emirates,Sales & Marketing,1593,GMP 335wan Sales
B9192954,AMER,Venezuela,Sales & Marketing,9785,ZBX & RM
A3022946,EMEA,United Arab Emirates,Sales & Marketing,2976,GMP 766wan Sales
G3262720,APJC,Malaysia,Sales & Marketing,2748,XKQ & RM
A8766233,APJC,Japan,Sales & Marketing,2067,SMG 987 FInance
A8293289,APJC,Japan,Sales & Marketing,8453,SMG 819 FInance
G7994011,AMER,Chile,Sales & Marketing,1067,IoT Sales Operations
A7564513,AMER,Colombia,Sales & Marketing,2067,SMG 987 FInance
G4186141,AMER,Colombia,Sales & Marketing,7125,SMG 247 FInance
B5837347,AMER,Colombia,Sales & Marketing,9261,WVH & RM
G2535132,APJC,Australia,Sales & Marketing,4512,SMG 431 FInance
G9735820,AMER,Canada,Sales & Marketing,2067,SMG 987 FInance
G1559103,EMEA,South Africa,Sales & Marketing,5201,LQO & RM
B0253825,APJC,India,Sales & Marketing,1067,IoT Sales Operations
A5383433,EMEA,Sweden,Sales & Marketing,7342,KLY & RM
B1831470,AMER,Costa Rica,Sales & Marketing,7342,KLY & RM
B6065259,AMER,Argentina,Sales & Marketing,2976,GMP 766wan Sales
B1006395,AMER,Peru,Sales & Marketing,8192,IoT Tecy Sales
G6518798,AMER,Argentina,Sales & Marketing,7125,SMG 247 FInance
A5161729,EMEA,Spain,Sales & Marketing,3850,SMG 604 FInance
G9161407,APJC,Japan,Sales & Marketing,4512,SMG 431 FInance
A4902955,AMER,Mexico,Sales & Marketing,5201,LQO & RM
G7657993,EMEA,Germany,Sales & Marketing,9785,ZBX & RM
G4602011,EMEA,United Arab Emirates,Sales & Marketing,7342,KLY & RM
B9796645,APJC,China,Sales & Marketing,7342,KLY & RM
B5007514,APJC,Malaysia,Sales & Marketing,9261,WVH & RM
B2566793,AMER,Brazil,Sales & Marketing,8192,IoT Tecy Sales
G7716651,AMER,United States,Sales & Marketing,6834,IoT Busi Sales
G1394343,EMEA,United Kingdom,Sales & Marketing,2067,SMG 987 FInance
A3028920,APJC,Malaysia,Sales & Marketing,5201,LQO & RM
A4255888,AMER,Chile,Sales & Marketing,2067,SMG 987 FInance
B4820976,APJC,Japan,Sales & Marketing,3850,SMG 604 FInance
G3221360,APJC,Japan,Sales & Marketing,5201,LQO & RM
A6058072,APJC,Malaysia,Sales & Marketing,2067,SMG 987 FInance
G7783565,EMEA,United Arab Emirates,Sales & Marketing,8192,IoT Tecy Sales
B9154820,EMEA,France,Sales & Marketing,5201,LQO & RM
A8235961,EMEA,Italy,Sales & Marketing,2976,GMP 766wan Sales
A0164888,APJC,Indonesia,Sales & Marketing,7342,KLY & RM
B3660979,EMEA,United Kingdom,Sales & Marketing,8453,SMG 819 FInance
A3580978,APJC,India,Sales & Marketing,7342,KLY & RM
G1712205,AMER,Argentina,Sales & Marketing,8795,GMP 573wan Sales
A8768996,EMEA,South Africa,Sales & Marketing,3849,VJP & RM
A1460961,APJC,Indonesia,Sales & Marketing,2067,SMG 987 FInance
G1057050,APJC,Japan,Sales & Marketing,9785,ZBX & RM
B5287054,APJC,Singapore,Sales & Marketing,9785,ZBX & RM
