PO Requestor WWID,SC Number,PO Number,PO Date,PO Validity End Date,PO Net Amt $,PO Supplier Name,PO Supplier ID
G3963840,548945,6791762816,2021-04-23,2021-06-07,1836,MsSmTupdYmdOABt,9144
G3241853,548945,6791762816,2021-06-18,2021-08-27,4129,NEcPOjrZPiochim,4269
A3141641,548945,6791762816,2021-04-15,2021-05-31,4584,PrwUsCftUlMrgEY,4611
B3049489,548945,6791762816,2021-06-23,2021-07-31,5715,uQVkwyaDaNgayut,8153
G7934854,548945,6791762816,2021-05-01,2021-05-07,3419,FsvyTrThyesIVpM,9792
G8733259,548945,6791762816,2021-06-04,2021-08-10,6828,hJWohzqSGMJMHYZ,4725
B1285962,548945,6791762816,2021-06-30,2021-07-31,14416,mhaIiuCvKczWTty,9806
B3049489,548945,6791762816,2021-05-01,2021-05-24,14858,ufjktOdcvcKRJPT,5730
G7348164,548945,6791762816,2021-06-01,2021-08-06,6650,GzLxCADWjXSYRCE,8077
G7769999,548945,6791762816,2021-06-25,2021-08-25,4820,yESbymfrOVdCcQH,3725
G7934854,548945,6791762816,2021-04-28,2021-06-28,13431,oMlarduEuIJixPj,3309
B6683279,548945,6791762816,2021-05-19,2021-08-05,10799,AALKkBqsgEUrOKp,5129
B0888875,548945,6791762816,2021-04-29,2021-07-19,8710,qbeqaDAECsCTkeR,2736
G7494913,548945,6791762816,2021-04-30,2021-07-04,11589,aJmnrQJIZSYtagV,3987
G5858177,548945,6791762816,2021-06-23,2021-07-03,3270,XfBnFyjsyGXqvMP,6700
B9867334,548945,6791762816,2021-06-28,2021-08-31,4688,WOctsPeBcKnpotc,4384
G9369824,548945,6791762816,2021-06-19,2021-08-08,14786,NZxvbCAYcuWJmLr,5566
B6683279,548945,6791762816,2021-06-25,2021-07-30,9167,ccgEjZtiScjYlLW,4459
G9546779,548945,6791762816,2021-06-08,2021-08-02,5645,bGPkyJCdFPataFr,5797
G9625029,548945,6791762816,2021-06-30,2021-09-21,7462,BJOcqhjpcPxaxKv,3485
G9546779,548945,6791762816,2021-04-20,2021-07-19,3037,kLJHlrGeKHsNbrT,4282
B5730997,548945,6791762816,2021-05-13,2021-07-27,3393,DSgIMnqlBmxAMKP,5862
B4166266,548945,6791762816,2021-05-23,2021-06-28,14377,djfZWcXKOFwlEPA,7301
G5858177,548945,6791762816,2021-05-12,2021-06-17,2374,HFkmsgzdrOmWsMC,1034
G7494913,548945,6791762816,2021-04-12,2021-05-21,2439,ijbJpQgpTTeKiRQ,5251
G0294273,548945,6791762816,2021-04-21,2021-06-20,11482,peJxRhNSlGDyYda,2686
B3049489,548945,6791762816,2021-05-11,2021-07-09,14059,hYFYxWaVWRmBNUN,9348
B3049489,548945,6791762816,2021-05-14,2021-07-09,14349,TJhHGQYRqvQcbfD,8733
B6230669,548945,6791762816,2021-06-14,2021-08-21,9371,mvRJTZYsfPhwZna,2660
B4656755,548945,6791762816,2021-06-05,2021-07-15,5966,lpcFpnxWQFjGxUI,6441
B8552233,548945,6791762816,2021-06-30,2021-08-30,9684,RUmhzYTQBHrVvIp,5326
B9867334,548945,6791762816,2021-06-24,2021-07-31,2315,FkrSUBuNpwQxOqi,8250
B1285962,548945,6791762816,2021-04-21,2021-04-30,4030,saMhqxwiYAbXEZQ,7139
G8599442,548945,6791762816,2021-04-11,2021-06-02,5856,qVnCAjeMHVlJTgP,5092
G2953015,548945,6791762816,2021-06-18,2021-07-26,7168,RkdLjoVDXSnyZvB,8960
G8733259,548945,6791762816,2021-06-19,2021-07-06,11703,XLslEGpgkBeaDHF,9698
B8800376,548945,6791762816,2021-04-16,2021-05-29,1846,FqAFoOGluNKyAOg,5056
B8800376,548945,6791762816,2021-05-01,2021-05-25,6696,NjUAToPIbpwiCMV,2615
G2183063,548945,6791762816,2021-04-19,2021-06-16,7156,IuwpIHKHbJDZXAN,3867
G3660842,548945,6791762816,2021-06-19,2021-06-26,4690,DwqLtIXtcgKHVqq,7792
G8599442,548945,6791762816,2021-05-15,2021-05-29,12045,gqzmaImiJbeVvVR,7138
B8205457,548945,6791762816,2021-05-02,2021-06-23,7747,tzHNFBFaBFZzRTJ,8931
B1285962,548945,6791762816,2021-05-21,2021-05-22,2618,fWJpGuPYBerHjWB,7362
G7769999,548945,6791762816,2021-05-23,2021-07-01,8744,zATkjnRiCxmjyZP,8462
G2506327,548945,6791762816,2021-06-11,2021-07-11,13134,UpXnepPdOuWHxQb,9209
B8552233,548945,6791762816,2021-05-06,2021-07-16,11641,RBwhfAHnsXVclyN,4534
G2183063,548945,6791762816,2021-04-19,2021-07-16,9547,tFHNfzeMzcUXNaG,9298
B5730997,548945,6791762816,2021-06-04,2021-07-09,1870,qpHeLXmAYGijdmn,3715
B2057631,548945,6791762816,2021-04-10,2021-06-30,10176,SRojbRUdvyjAUZZ,5639
G5778210,548945,6791762816,2021-04-22,2021-06-17,13588,UJmVTDoOGOLfPuQ,4987
G2183063,548945,6791762816,2021-04-25,2021-05-15,4977,sJcrSPkMqolJquC,1078
B4316135,548945,6791762816,2021-05-01,2021-05-13,13736,kCKcLxVzZqimBjG,3585
A9803288,548945,6791762816,2021-05-09,2021-07-21,9045,HzijcRWghAfwtLl,1276
B6230669,548945,6791762816,2021-06-02,2021-08-24,5533,fljeHLLEJoNyfeq,8617
A2747102,548945,6791762816,2021-04-27,2021-05-07,5508,GDoGhGNSAhTkCVA,8460
A8394297,548945,6791762816,2021-06-01,2021-06-14,13137,HxMpIykpFQfEosj,8243
G2506327,548945,6791762816,2021-04-11,2021-06-07,12821,HiZJVJIYdGWFWxv,9175
G0294273,548945,6791762816,2021-06-23,2021-07-24,14844,ahNCoDQgYommlrX,8806
G7934854,548945,6791762816,2021-05-13,2021-05-25,6251,iHsvrkQDggNqLVG,3496
B0888875,548945,6791762816,2021-06-28,2021-09-14,4957,dcaXEVBrrKDapty,3065
G2506327,548945,6791762816,2021-04-12,2021-06-10,5670,tiyqTbllAtihfAL,8714
G8733259,548945,6791762816,2021-06-04,2021-06-19,11967,NIsUlKmWhCGESxs,9108
G9663829,548945,6791762816,2021-04-01,2021-06-14,2714,lLdiJDgoJwETfNP,7303
G2493226,548945,6791762816,2021-05-27,2021-08-14,14977,QugaRJWVndGOcvf,2367
G9546779,548945,6791762816,2021-05-07,2021-06-26,10382,vmlrXIWaejMElQM,9850
G2183063,548945,6791762816,2021-04-25,2021-05-21,14156,vkDvdlhxSnUVXWh,6312
G9546779,548945,6791762816,2021-06-12,2021-07-10,10882,uEUtnijEcRzaTjJ,5383
G7348164,548945,6791762816,2021-04-01,2021-05-12,10293,JJSSvUOjrQZlsTa,6592
G5858177,548945,6791762816,2021-04-06,2021-05-10,4412,eWFLMlsvMxnBbDZ,1397
G7348164,548945,6791762816,2021-04-14,2021-04-27,6938,FtmrOevZuTYrkdr,5734
G7934731,548945,6791762816,2021-05-11,2021-07-03,12778,CuQbISZHZWBSRSd,3733
B6683279,548945,6791762816,2021-05-11,2021-05-25,12135,uldtFEiuEJhzzSn,3283
G8733259,548945,6791762816,2021-05-14,2021-06-22,8617,fLdTMfEMiBODjYh,1807
G2506327,548945,6791762816,2021-06-28,2021-08-02,3081,riUhmNqpZmpsPYr,1915
G2493226,548945,6791762816,2021-04-19,2021-05-14,7444,VuybMQFrHSHxOQu,5263
G9625029,548945,6791762816,2021-04-08,2021-06-10,6833,FacrYuTRMKyvCVN,9331
G4734347,548945,6791762816,2021-04-21,2021-05-02,11094,PmXXZYdMijsKgLw,2476
B4870683,548945,6791762816,2021-04-30,2021-07-29,9539,LVwdYVRaYjwuszm,2900
G8733259,548945,6791762816,2021-04-15,2021-05-14,4862,qvNUONcYVbhTrcC,6724
A0178720,548945,6791762816,2021-04-21,2021-04-27,6901,texRowfVmbmvepi,9164
G7934731,548945,6791762816,2021-05-23,2021-06-09,14687,ARnRSvNelBFrOdD,3474
G9546779,548945,6791762816,2021-06-07,2021-08-08,10045,AdKngwsktcQyfNr,1140
G8599442,548945,6791762816,2021-06-10,2021-06-30,1826,LrtwteAXGifqiVK,7189
G5778210,548945,6791762816,2021-04-19,2021-05-21,6139,jXbuTCsKfMyrmlW,2255
B9539893,548945,6791762816,2021-04-08,2021-06-24,13074,rTphGJxcWjjVkGi,2839
B5730997,548945,6791762816,2021-04-10,2021-05-08,10544,dkUULtYxhfsdgsD,6393
G0294273,548945,6791762816,2021-06-03,2021-08-25,5749,BYbBkynMsNNZlQR,3740
G2183063,548945,6791762816,2021-04-07,2021-06-23,4493,pkDSLacKcoeONnh,9112
A2747102,548945,6791762816,2021-06-24,2021-07-25,1010,cMdWreItbiJqmHb,6296
B6230669,548945,6791762816,2021-06-26,2021-07-13,9534,ksoKlqMJqPkNYli,3261
G2183063,548945,6791762816,2021-04-30,2021-06-09,1212,DYyrkxubkcYeWoB,3956
B8552233,548945,6791762816,2021-04-04,2021-05-15,7100,PgtSLCJbDsnFCRV,7103
G6621122,548945,6791762816,2021-05-09,2021-06-03,2640,WxLVLDqAuqEcJIX,4768
B8552233,548945,6791762816,2021-06-24,2021-07-31,11381,ATUXvwgvLdMwXrT,8413
G9546779,548945,6791762816,2021-04-28,2021-07-06,8616,oEVSYcnxLwcOwKe,2450
G2183063,548945,6791762816,2021-06-14,2021-09-12,6011,lEgoNhvvYpKFJxL,1652
G8733259,548945,6791762816,2021-04-08,2021-06-02,8326,zMYqBVsDVHivAmK,4053
G3241853,548945,6791762816,2021-06-15,2021-08-30,2280,mAyFYaZalRmgpCt,5772
A2747102,548945,6791762816,2021-06-26,2021-09-05,11600,RQPYsAHitdxmZWP,1759
G9369824,548945,6791762816,2021-06-04,2021-06-19,5928,twlGAGDJUzXpVdC,1514
G1183762,548945,6791762816,2021-06-08,2021-08-07,8191,GivyPcPubkjOWtw,8691
B1605324,548945,6791762816,2021-06-18,2021-08-26,8661,KSIGzRkKqWRGgIM,9696
A9803288,548945,6791762816,2021-05-18,2021-05-30,5749,bKwpXLWMLhKIdtf,5776
G9546779,548945,6791762816,2021-06-15,2021-09-02,6502,LOfdrRpvdeenKul,7890
G4734347,548945,6791762816,2021-06-05,2021-07-11,9574,nTclDZWtqkkQyHZ,3235
G7934731,548945,6791762816,2021-06-11,2021-06-24,5654,KqiBmnuwMoeVbBs,2862
G2506327,548945,6791762816,2021-06-20,2021-07-10,10538,wIEWXPvspXYxpqM,2545
B6230669,548945,6791762816,2021-06-07,2021-08-04,8464,icSlOYwfKYrVvlX,5695
G7348164,548945,6791762816,2021-05-16,2021-06-05,13065,tyAMoKrqofsBptu,7240
G3660842,548945,6791762816,2021-04-21,2021-07-12,7199,REWbxFKlQsYAacf,4500
G7769999,548945,6791762816,2021-06-25,2021-07-20,8751,oNJXhAAOfXETrLp,2749
B1605324,548945,6791762816,2021-04-30,2021-06-28,13337,OhxVqJkZzRJKHap,7918
B1093048,548945,6791762816,2021-05-20,2021-07-17,1157,WEbjfyIVogbuvmu,5981
G0294273,548945,6791762816,2021-05-13,2021-07-18,7604,JgwDsWcgpLKACnU,7874
B9867334,548945,6791762816,2021-06-21,2021-07-28,3364,qxlUYOZncIFqfQP,6261
G4734347,548945,6791762816,2021-04-23,2021-05-29,10818,dYuJkUBpXSNPwWm,7674
B4656755,548945,6791762816,2021-06-25,2021-09-05,13018,vvQhNKwhyjlERrw,3105
G0294273,548945,6791762816,2021-06-27,2021-09-07,11062,VvrKccKHRfYtjmd,2232
