,PO Requestor WWID,SC Number,PO Number,PO Date,PO Validity End Date,PO Net Amt $,PO Supplier Name,PO Supplier ID
0,G3660842,548945,6791762816,2021-03-15,2021-03-31,6641,tDwiXMCpOQcGyXy,5711
1,G6050999,548945,6791762816,2021-03-03,2021-05-03,7042,tyJbeXCGEpGZUeZ,3909
2,A4072681,548945,6791762816,2021-01-02,2021-02-21,14788,txUUpoPmwxHPknj,4838
3,G6050999,548945,6791762816,2021-01-08,2021-02-26,1523,OEfGTlgwlBRFaCI,3254
4,B1605324,548945,6791762816,2021-03-17,2021-04-16,10030,rFUiyaxBpzAIhTG,5001
5,G8733259,548945,6791762816,2021-03-08,2021-05-03,4316,JyuxAFAVNmjPDkg,6094
6,G3660842,548945,6791762816,2021-03-23,2021-04-02,3462,FCBdNTriVnNQoLn,8238
7,B1093048,548945,6791762816,2021-03-10,2021-03-14,7297,aqeIVtssXQSeRjN,9585
8,A4072681,548945,6791762816,2021-02-02,2021-02-03,9718,TZtVCyYUnVtylrB,9044
9,G2493226,548945,6791762816,2021-02-18,2021-04-11,10327,TCetNQrTCwDzAzC,7292
10,G7348164,548945,6791762816,2021-01-17,2021-02-02,5357,AuCSASUiRKXIcok,7027
11,B4316135,548945,6791762816,2021-01-06,2021-01-10,3176,IHWwtMBzpDYgImo,3532
12,B8552233,548945,6791762816,2021-01-20,2021-03-14,13348,FNDeqhjUQRFVYXV,9971
13,B6683279,548945,6791762816,2021-01-04,2021-01-08,13708,vmhKsgMuyGcGKsl,3411
14,G9546779,548945,6791762816,2021-03-12,2021-04-01,11464,SenCznudJWSdjfx,6662
15,B3049489,548945,6791762816,2021-03-28,2021-04-28,2591,IYexdDQrwoQPLcg,5322
16,G5858177,548945,6791762816,2021-03-09,2021-05-07,6307,zESyBeQjMOlzBLy,4035
17,B4870683,548945,6791762816,2021-03-03,2021-04-23,3827,WryPbSJPfjuPNZr,5366
18,A4072681,548945,6791762816,2021-03-28,2021-05-28,9277,awdmnPlvYYuaiFX,3756
19,B4166266,548945,6791762816,2021-02-11,2021-03-14,3236,IprFGfosGYJQvpq,4958
20,B4166266,548945,6791762816,2021-01-29,2021-03-09,5549,JQtXQdLSuRHZEfg,3315
21,G2953015,548945,6791762816,2021-01-22,2021-02-24,2457,owAOXuaPgkEQSRm,8161
22,B6683279,548945,6791762816,2021-03-23,2021-05-16,4420,cYifyMnBDYggsnf,8903
23,A4072681,548945,6791762816,2021-01-05,2021-02-25,3323,wjNKsyiMbUYGpEb,2753
24,G9663829,548945,6791762816,2021-02-05,2021-04-19,8242,HgamPnNVqlAFThh,3411
25,G0294273,548945,6791762816,2021-01-08,2021-02-17,12044,KRhHkfXxZwPpxdy,8484
26,G7348164,548945,6791762816,2021-02-23,2021-03-11,14772,tmdQCBvcMbQBtAR,5164
27,G3241853,548945,6791762816,2021-03-27,2021-04-03,6568,EMNCUUcfMLhfIxN,3565
28,B1605324,548945,6791762816,2021-02-28,2021-04-03,3947,BpwgYIaMCnGYzbR,6483
29,G4734347,548945,6791762816,2021-01-20,2021-04-11,10735,TuIdTzqmIjJbDYo,8084
30,A9803288,548945,6791762816,2021-03-24,2021-06-18,8846,ZvfNMPlntXRGrUs,8282
31,G6050999,548945,6791762816,2021-03-07,2021-06-02,6395,nkspaMWXRDJbCWd,1220
32,G7348164,548945,6791762816,2021-02-23,2021-05-23,6899,XtYsxNQegmFwKfZ,9131
