,Employee WWID,Region,Country,Business Unit,Cost Center Code,Cost Center Name
0,B9867334,APJC,Singapore,Sales & Marketing,2067,SMG 987 FInance
11,B5730997,APJC,Singapore,Sales & Marketing,3849,VJP & RM
23,B0325269,APJC,Indonesia,Sales & Marketing,6427,IoT Tech Sales
28,G7494913,APJC,Thailand,Sales & Marketing,7342,KLY & RM
37,A9803288,APJC,South Korea,Sales & Marketing,7342,KLY & RM
48,B1605324,APJC,Japan,Sales & Marketing,6427,IoT Tech Sales
55,B3111382,APJC,Japan,Sales & Marketing,8795,GMP 573wan Sales
60,G5858177,APJC,South Korea,Sales & Marketing,8453,SMG 819 FInance
73,A2747102,APJC,Malaysia,Sales & Marketing,8795,GMP 573wan Sales
84,B8205457,APJC,Singapore,Sales & Marketing,4512,SMG 431 FInance
93,B9539893,APJC,Malaysia,Sales & Marketing,4175,GMP 892wan Sales
97,G9625029,APJC,Japan,Sales & Marketing,5639,SMG 126 FConfid
105,G4734347,APJC,Philippines,Sales & Marketing,2067,SMG 987 FInance
118,A3141641,APJC,Japan,Sales & Marketing,8453,SMG 819 FInance
124,G3963840,APJC,Thailand,Sales & Marketing,8192,IoT Tecy Sales
129,B3049489,APJC,Thailand,Sales & Marketing,6834,IoT Busi Sales
140,B3843902,APJC,Indonesia,Sales & Marketing,6427,IoT Tech Sales
146,B4656755,APJC,South Korea,Sales & Marketing,8453,SMG 819 FInance
154,G2493226,APJC,Thailand,Sales & Marketing,4512,SMG 431 FInance
161,B6230669,APJC,Malaysia,Sales & Marketing,1067,IoT Sales Operations
171,G9663829,APJC,South Korea,Sales & Marketing,7125,SMG 247 FInance
180,G5778210,APJC,Singapore,Sales & Marketing,3849,VJP & RM
189,B1285962,APJC,India,Sales & Marketing,9785,ZBX & RM
